"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","HU","TKL ALL","Runs"
"","199180","","450182","","Abel Hoopii","SMU","58","G","18","3","0","0","2","14"
"","199233","","455833","","Byron Washington","SYRACUSE","76","G","257","7","1","7","4","96"
"","199268","","449882","","Witten Van Hoy","TCU","50","T","23","3","0","0","0","17"
"","199294","","458931","","Nick Brooks","TEXAS","71","G","221","5","4","13","2","101"
"","199307","","450071","","Patrick McMath","TEXAS TECH","50","C","54","3","0","0","1","30"
"","199312","","450015","","Connor Carty","TEXAS TECH","61","G","35","3","0","2","2","20"
"","199381","","454012","","LaParka Langston","UCF","53","T","3","1","0","0","0","3"
"","199383","","454027","","Noah Senka","UCF","67","G","3","1","0","0","0","3"
"","199410","","0","","Alex Payne","USC","71","T","1","1","0","0","0","1"
"","199412","","0","","Willi Wascher","USC","52","C","1","1","0","0","0","1"
"","199419","","449483","","Aaron Dunn","USC","70","T","28","1","0","0","1","13"
"","199422","","449594","","Elijah Vaikona","USC","79","T","46","3","0","0","0","24"
"","199518","","449356","","John Mills","WASHINGTON","72","G","393","8","0","7","5","168"
"","199524","","453713","","Champ Taulealea","WASHINGTON","73","G","45","2","0","0","0","23"
"","199543","","451397","","Brandon Homady","W VIRGINIA","71","T","8","2","0","0","0","7"
"","199572","","453353","","Nolan Davenport","WISCONSIN","60","G","3","1","0","0","0","3"
"","199628","","448932","","Brayden Jacobs","CLEMSON","74","G","363","9","2","9","3","159"
"","199681","","453330","","Kevin Peay Jr.","GA TECH","51","G","4","1","0","0","0","2"
"","199683","","453332","","Josh Petty","GA TECH","69","T","17","5","0","1","0","10"
"","199687","","453325","","Peyton Joseph","GA TECH","71","T","4","1","0","0","0","2"
"","199754","","453339","","Carius Curne","LSU","57","T","233","6","3","6","2","77"
"","199794","","0","","Brian Tapu","NEBRASKA","63","T","1","1","0","0","0","0"
"","199795","","453536","","Shawn Hammerbeck","NEBRASKA","79","T","13","2","0","0","1","9"
"","199796","","453546","","Houston Ka'aha'aina-Torres","NEBRASKA","67","C","14","2","0","0","0","10"
"","199841","","458774","","Matty Augustine","NOTRE DAME","58","T","22","2","0","0","0","15"
"","199845","","469178","","Cam Herron","NOTRE DAME","57","C","11","1","0","0","0","8"
"","199857","","453499","","Carter Lowe","OHIO STATE","74","T","18","2","0","0","2","16"
"","199860","","453488","","Jake Cook","OHIO STATE","76","G","17","3","0","0","0","15"
"","199861","","453500","","Jayvon McFadden","OHIO STATE","71","G","15","1","0","0","1","13"
"","199875","","449223","","Demetri Manning","OREGON","50","G","8","2","0","0","0","6"
"","199878","","449178","","Ziyare Addison","OREGON","58","T","8","2","0","0","0","6"
"","199881","","449247","","Douglas Utu","OREGON","55","G","9","3","0","0","0","7"
"","199901","","449105","","Owen Aliciene","PENN STATE","77","T","22","1","0","0","0","11"
"","199949","","453956","","Shedrick Sarratt Jr.","S CAROLINA","72","G","366","8","1","5","2","148"
"","199958","","453911","","Damola Ajidahun","S CAROLINA","55","T","40","4","1","2","2","15"
"","199963","","453405","","Nic Moore","TENNESSEE","58","C","18","2","0","0","0","11"
