"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","INT","CTGT"
"","191316","","441755","","Carson Van Dinter","IOWA STATE","36","S","92","8","6","0","5","0","9"
"","191317","","449830","","Connor Welsch","IOWA STATE","17","S","3","1","0","0","0","0","0"
"","191329","","428956","","Peyton Woodyard","OREGON","12","S","129","8","16","0","2","1","3"
"","191330","","0","","Tyler Armstead","PENN STATE","35","S","12","2","0","0","0","0","0"
"","191339","","428519","","Dejuan Lane","PENN STATE","10","S","152","7","21","1","3","0","8"
"","191344","","436414","","Kenny Woseley Jr.","PENN STATE","17","S","183","6","11","1","2","0","16"
"","191348","","447835","","Malik Esquerra","TEXAS TECH","24","S","114","7","5","0","1","0","4"
"","191351","","444033","","Oliver Miles III","TEXAS TECH","15","S","42","3","3","0","0","0","2"
"","191352","","447574","","Peyton Morgan","TEXAS TECH","17","S","81","7","6","0","1","0","1"
"","193190","","446266","","Leroy Roker III","OHIO STATE","28","S","34","4","4","0","1","0","0"
"","193199","","441633","","David Kabongo","OKLA STATE","18","S","121","4","12","0","3","0","5"
"","193233","","429695","","TJ Banks","OLE MISS","07","S","148","7","11","0","4","0","8"
"","198088","","449002","","Ivan Taylor","ALABAMA","13","S","17","2","2","0","0","0","0"
"","198145","","448934","","AnQuon Fegans","AUBURN","21","S","145","9","13","0","2","1","10"
"","198155","","449031","","Eric Winters","AUBURN","25","S","162","9","23","1","4","0","7"
"","198240","","449122","","Aiden Manutai","CAL","14","S","429","8","27","1","9","0","16"
"","198261","","453376","","CJ Jones","CINCINNATI","19","S","19","1","0","0","0","0","1"
"","198271","","455883","","Terrell Holcomb","CINCINNATI","24","S","11","1","2","0","0","0","0"
"","198278","","455879","","CJ Crite","CINCINNATI","20","S","21","1","1","0","0","0","0"
"","198336","","449411","","Ma'khi Jones","DUKE","26","S","129","8","19","0","2","0","4"
"","198424","","453268","","Antonio Cromartie Jr.","FLORIDA ST","33","S","28","2","3","0","0","0","3"
"","198434","","453286","","Max Redmon","FLORIDA ST","21","S","20","2","1","0","0","0","0"
"","198516","","449130","","Xanai Scott","ILLINOIS","13","S","12","2","0","0","0","0","0"
"","198529","","449229","","Garrett Reese","INDIANA","33","S","6","1","0","0","0","0","0"
"","198560","","449820","","Josh Patterson","IOWA STATE","25","S","74","3","2","0","2","0","3"
"","198599","","448796","","Logan Bartley","KANSAS ST","10","S","122","8","15","1","2","0","5"
"","198728","","449580","","Messiah Delhomme","MARYLAND","33","S","327","8","30","0","1","1","26"
"","198792","","449763","","Jordan Young","MICHIGAN","14","S","66","6","7","0","2","1","5"
"","198860","","451344","","Ja'Bryis Stewart","MISS STATE","36","S","16","2","2","0","0","0","0"
"","198880","","449150","","CJ Bass III","MISSOURI","30","S","27","2","3","0","0","0","1"
"","198973","","450150","","Tristan Teasdell","NC STATE","19","S","125","3","11","0","2","2","5"
"","199007","","453362","","Alijah Jones","NWESTERN","00","S","28","2","4","0","0","0","0"
"","199008","","449253","","Jon Stevens Jr.","NWESTERN","29","S","83","5","8","1","2","0","7"
"","199038","","450114","","Omarion Robinson","OKLAHOMA","02","S","30","4","2","0","0","0","1"
"","199078","","449563","","Josh Guerrier","PITTSBURGH","14","S","127","8","12","0","3","0","9"
"","199097","","466477","","Vi'Naz Cobb","PURDUE","15","S","9","2","1","0","1","0","0"
"","199123","","456049","","Renick Dorilas","RUTGERS","12","S","1","1","0","0","0","0","0"
"","199169","","450195","","Tyren Polley","SMU","10","S","27","1","3","0","0","0","2"
"","199267","","456128","","Julius Simms","TCU","31","S","53","4","10","1","0","0","0"
"","199295","","458952","","Zelus Hicks","TEXAS","13","S","6","1","0","0","0","0","0"
"","199300","","458966","","Jonah Williams","TEXAS","09","S","18","2","1","0","0","0","1"
"","199388","","454033","","Tony Williams","UCF","03","S","7","1","3","0","1","0","0"
"","199409","","449528","","Steve Miller","USC","36","S","8","1","0","0","0","0","0"
"","199414","","465102","","Alex Graham","USC","27","S","8","1","1","0","0","0","0"
"","199446","","449437","","Nate Tilmon","UTAH","21","S","142","8","10","0","2","0","4"
"","199507","","449343","","Rylon Dillard-Allen","WASHINGTON","18","S","155","8","21","0","2","0","5"
"","199547","","451364","","Chris Fileppo","W VIRGINIA","34","S","50","6","4","0","2","0","0"
"","199566","","414039","","Matthew Jung","WISCONSIN","29","S","377","8","39","1","7","0","10"
"","199576","","453355","","Grant Dean","WISCONSIN","16","S","9","1","0","0","0","0","0"
"","199617","","449308","","Omarion Davis","BOSTON COL","27","S","133","6","15","0","6","0","8"
"","199685","","449144","","Tae Harris","GA TECH","27","S","142","6","14","0","2","0","5"
"","199760","","458872","","Jhase Thomas","LSU","28","S","1","1","0","0","0","0","0"
"","199766","","453338","","Jacob Bradford","LSU","24","S","1","1","0","0","0","0","0"
"","199771","","448974","","CJ Jimcoily","LSU","31","S","13","3","1","0","0","0","0"
"","199813","","453628","","Tanner Terch","NEBRASKA","41","S","1","1","0","0","0","0","0"
"","199842","","460996","","Ethan Long","NOTRE DAME","22","S","2","1","0","0","0","0","0"
"","199856","","449023","","Faheem Delane","OHIO STATE","10","S","47","5","6","1","0","0","2"
"","199944","","449264","","Jaquel Holman","S CAROLINA","18","S","12","3","0","0","0","0","1"
"","199952","","453932","","Kendall Daniels Jr.","S CAROLINA","05","S","15","3","0","0","2","0","1"
"","199975","","451174","","Sidney Walton","TENNESSEE","26","S","102","6","7","0","3","0","4"
"","199980","","453403","","Dylan Lewis","TENNESSEE","24","S","3","1","0","0","0","0","0"
"","199988","","453337","","Rashad Johnson","TEXAS A&M","13","S","17","1","1","0","0","0","1"
"","200077","","450677","","JJ Shelton","ARKANSAS","20","S","11","2","1","0","0","0","0"
"","200082","","450647","","Taijh Overton","ARKANSAS","18","S","4","1","1","0","0","0","0"
"","200103","","449096","","Bo Onu","BAYLOR","21","S","40","5","4","0","1","0","2"
"","200134","","449436","","Lagonza Hayward","FLORIDA","02","S","70","4","7","1","2","0","6"
"","200143","","449126","","Martels Carter Jr.","KENTUCKY","04","S","24","1","3","0","2","0","1"
"","200147","","455983","","Dyllon Williams","KENTUCKY","13","S","12","1","0","0","0","0","1"
"","200263","","449699","","Vanzale Hinton","VANDERBILT","33","S","45","6","2","0","0","0","5"
"","200264","","449774","","Carson Lawrence","VANDERBILT","23","S","104","5","7","0","2","0","8"
"","200278","","450340","","Montino Williams","VIRGINIA","31","S","22","2","4","0","1","0","1"
"","204005","","449450","","Andrew Pellicciotta","DUKE","35","S","98","8","11","0","1","1","7"
"","204159","","453580","","Zack Harden","MINNESOTA","26","S","5","3","0","0","0","0","0"
"","204266","","463605","","Cole Woodson","PITTSBURGH","17","S","9","1","2","0","0","0","2"
"","204312","","455818","","Ziyyon Bredell","SYRACUSE","25","S","11","1","2","0","0","0","0"
"","204412","","453651","","Brock Fonoimoana","UTAH","36","S","35","3","5","1","0","0","1"
"","204462","","0","","Blake Brisker","ARKANSAS","31","S","1","1","0","0","0","0","0"
"","204504","","449179","","Bryce Fitzgerald","MIAMI FL","13","S","158","8","6","0","1","3","7"
"","204866","","0","","Daniel Okonkwo","GEORGIA","26","S","1","1","0","0","0","0","0"
"","205449","","453453","","Kendarius Reddick","USC","41","S","40","2","6","0","1","0","6"
"","205499","","458930","","Sheldon Robinson","VA TECH","14","S","175","6","17","1","1","0","6"
"","205506","","458927","","Brennan Johnson","VA TECH","15","S","52","5","4","0","3","0","2"
"","207797","","449345","","Coleman Patmon","ARIZONA","26","S","56","4","6","0","0","0","0"
"","207817","","461028","","Marcus Upton","BOSTON COL","20","S","88","5","8","0","2","0","3"
"","208866","","451373","","Kaleb Gray","W VIRGINIA","28","S","3","1","0","0","0","0","0"
"","208867","","451401","","Julien Horton","W VIRGINIA","39","S","3","1","1","0","0","0","0"
