"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","TFL","TOT TKL","TPR","HU","BP"
"","176021","","412303","","Rashard Perry","SYRACUSE","92","DI","117","5","1","0","5","10","9","0"
"","176052","","430210","","Chris Marable Jr.","BOSTON COL","52","DI","366","10","1","0","14","7","6","1"
"","176053","","443096","","Ka'Shawn Thomas","WAKE","92","DI","16","2","0","0","0","1","1","0"
"","176058","","406243","","Kerrington Lee","WAKE","46","ED","12","2","0","0","1","0","0","0"
"","176059","","429230","","Tyler Walton","WAKE","42","ED","131","9","0","0","11","6","5","1"
"","176143","","423508","","Kamari Burns","CINCINNATI","40","DI","157","9","1","0","9","2","1","0"
"","176171","","406879","","Tausili Akana","BYU","13","ED","93","9","0","0","4","7","4","0"
"","176188","","418146","","Billy Walton III","SMU","32","ED","53","6","1","0","1","2","0","0"
"","176215","","428481","","Semaj Bridgeman","MICH STATE","17","ED","38","8","0","1","3","0","0","0"
"","176217","","428509","","Breeon Ishmail","PURDUE","58","ED","284","10","1","0","21","9","7","0"
"","176276","","446932","","Hayden Moore","WASHINGTON","44","ED","14","3","0","0","1","1","1","0"
"","176287","","421214","","Marcus Moore Jr.","PURDUE","52","DI","41","3","0","1","3","1","1","0"
"","176303","","406286","","Aymeric Koumba","UCF","12","ED","27","5","0","0","3","0","0","0"
"","176306","","406235","","Cameron Brandt","MICHIGAN","09","ED","284","9","1","1","19","13","8","0"
"","176315","","406304","","Trey Pierce","MICHIGAN","95","DI","258","9","0","2","26","7","5","0"
"","176318","","406259","","Enow Etta","MICHIGAN","17","DI","219","9","1","3","16","8","6","2"
"","176448","","445701","","Austin Ramsey","KENTUCKY","76","DI","69","8","0","1","2","3","3","0"
"","176512","","420362","","Michael Kilbane","NWESTERN","47","ED","305","9","4","2","27","30","19","0"
"","176559","","407844","","Ryan McCulloch","CAL","43","ED","210","4","2","1","11","18","10","1"
"","176593","","406563","","Terrance Green","OREGON","99","DI","154","9","0","1","11","0","0","0"
"","176597","","406634","","Ashton Porter","OREGON","29","ED","137","9","0","0","13","2","1","1"
"","176598","","406639","","Blake Purchase","OREGON","09","ED","204","9","1","2","22","5","1","0"
"","176603","","406688","","A'Mauri Washington","OREGON","52","DI","383","9","1","2","27","9","6","4"
"","176622","","425452","","Braden Marceau-Olayinka","STANFORD","75","DI","236","10","0","0","14","9","7","0"
"","176629","","431565","","Omar Staples","STANFORD","45","DI","183","10","1","1","10","10","7","0"
"","176634","","406020","","Elijah Hughes","NOTRE DAME","56","DI","176","9","1","1","18","10","8","0"
"","176644","","406018","","Braylan Shelby","USC","10","ED","305","9","4","1","23","18","13","0"
"","176654","","424629","","Jonah Lea'ea","UTAH","91","DI","438","9","3","3","28","15","11","1"
"","176681","","415818","","Khalil Laufau","HOUSTON","18","DI","581","10","2","0","34","14","11","1"
"","177214","","408122","","Bryce Hawthorne","IOWA","96","DI","204","9","0","1","12","1","1","0"
"","177800","","403842","","Onye Nwosisi","BOSTON COL","92","ED","49","3","0","0","5","2","1","0"
"","178024","","407588","","Chancellor Owens","ARIZONA","90","DI","32","2","1","0","2","2","1","0"
"","178270","","407129","","Logan George","OHIO STATE","48","ED","19","3","0","0","3","1","1","0"
"","178571","","407746","","Jeffson Lafontant","UCF","92","DI","61","6","1","0","4","2","1","0"
"","179071","","412339","","Sedrick Smith","MARYLAND","91","DI","84","9","0","0","5","2","2","0"
"","182686","","412102","","Clinton Barlow","GEORGIA","67","DI","3","1","0","0","1","0","0","0"
"","182779","","431841","","Samuel Coufal","MIAMI FL","92","DI","5","2","0","0","0","0","0","0"
"","183203","","431635","","Champ Thompson","CLEMSON","56","DI","27","5","1","0","2","1","0","0"
"","183211","","431645","","Jordan Boyd","GA TECH","08","ED","104","8","0","1","5","7","6","0"
"","183233","","431853","","Marquise Lightfoot","MIAMI FL","12","ED","183","9","2","1","17","22","13","1"
"","183235","","431856","","Cole McConathy II","MIAMI FL","44","ED","6","1","0","0","0","0","0","0"
"","183257","","449062","","BJ Canady","CAL","55","ED","68","7","0","1","7","2","2","0"
"","183267","","431424","","Francis Brewu","PITTSBURGH","95","DI","327","9","2","3","23","16","10","0"
"","183268","","449557","","Zach Crothers","PITTSBURGH","05","ED","95","4","2","0","14","9","4","0"
"","183270","","428543","","Sincere Edwards","UCF","10","ED","124","6","2","3","12","7","4","0"
"","183280","","431566","","Dylan Stephenson","STANFORD","02","ED","78","6","0","0","6","0","0","0"
"","183288","","446311","","Jewett Hayes","VIRGINIA","85","ED","26","3","0","0","2","4","2","0"
"","183290","","450291","","Chase Morrison","VIRGINIA","46","DI","5","2","0","0","0","0","0","0"
