"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","REC","EXPL","YAC","CTC"
"","198467","","449043","","Tyler J. Williams","GEORGIA","13","WR","7","1","1","0","10","0"
"","198477","","449030","","Talyn Taylor","GEORGIA","11","WR","24","3","2","1","24","0"
"","198479","","449022","","Landon Roldan","GEORGIA","84","WR","11","3","0","0","0","0"
"","198523","","449139","","Brayden Trimble","ILLINOIS","11","WR","7","1","0","0","0","0"
"","198526","","467600","","Davion Chandler","INDIANA","04","WR","21","2","0","0","0","0"
"","198538","","449194","","Lebron Bond","INDIANA","06","WR","70","7","4","0","18","0"
"","198588","","449859","","Jackson Cook","KANSAS","89","WR","3","1","0","0","0","0"
"","198589","","449912","","Bryson Hayes","KANSAS","12","WR","12","1","0","0","0","0"
"","198590","","448788","","Tate Nagy","KANSAS","85","WR","15","3","2","0","5","0"
"","198593","","449697","","Jemyri Davis","KANSAS ST","14","WR","22","4","2","0","-2","0"
"","198606","","448805","","Adonis Moise","KANSAS ST","17","WR","107","6","5","1","19","0"
"","198732","","449642","","Zymear Smith","MARYLAND","10","WR","24","2","2","0","1","0"
"","198798","","456010","","Jamar Browder","MICHIGAN","06","WR","41","6","0","0","0","0"
"","198804","","449716","","Andrew Marsh","MICHIGAN","04","WR","300","9","26","11","196","2"
"","198812","","468394","","Charles Taplin","MICH STATE","19","WR","1","1","1","0","10","0"
"","198864","","451195","","Gracen Harris","MISS STATE","14","WR","18","2","1","0","8","0"
"","198878","","449232","","Donovan Olugbode","MISSOURI","01","WR","200","8","17","3","101","3"
"","198888","","449172","","DaMarion Fowlkes","MISSOURI","11","WR","24","2","0","0","0","0"
"","198889","","455906","","Shaun Terry II","MISSOURI","08","WR","18","3","1","0","13","0"
"","198963","","414892","","Ethan Dowdy","NC STATE","80","WR","29","2","3","0","8","0"
"","198966","","450109","","Teddy Hoffmann","NC STATE","12","WR","205","9","20","8","72","4"
"","199035","","456014","","Manny Choice","OKLAHOMA","21","WR","5","2","0","0","0","0"
"","199044","","450122","","Elijah Thomas","OKLAHOMA","14","WR","37","4","1","0","9","0"
"","199055","","453256","","Royal Capell","OKLA STATE","11","WR","161","8","9","0","29","3"
"","199079","","449572","","Cam Sapp","PITTSBURGH","84","WR","13","2","1","0","12","0"
"","199084","","449565","","Tony Kinsler","PITTSBURGH","17","WR","32","4","1","0","8","0"
"","199090","","449586","","Bryce Yates","PITTSBURGH","80","WR","80","6","9","4","124","0"
"","199113","","456041","","Vernon Allen III","RUTGERS","13","WR","8","1","1","1","2","0"
"","199120","","456047","","Sah'nye Degraffenreidt","RUTGERS","14","WR","23","2","0","0","0","0"
"","199121","","466481","","Jourdin Houston","RUTGERS","04","WR","18","2","0","0","0","0"
"","199131","","456075","","Michael Thomas III","RUTGERS","80","WR","13","2","1","1","0","1"
"","199156","","450200","","Link Rhodes","SMU","04","WR","78","8","3","0","22","0"
"","199165","","450208","","Isaiah Robertson","SMU","45","WR","15","2","0","0","0","0"
"","199175","","450160","","Carterrious Brown","SMU","11","WR","51","3","3","0","8","0"
"","199179","","450166","","Jalen Cooper","SMU","10","WR","217","9","16","4","79","3"
"","199217","","455822","","Nate Edwards","SYRACUSE","87","WR","1","1","0","0","0","0"
"","199224","","467603","","Darius Johnson","SYRACUSE","14","WR","40","2","2","1","0","1"
"","199243","","449879","","Ed Small","TCU","18","WR","134","6","16","4","115","2"
"","199244","","449876","","Terry Shelton","TCU","15","WR","22","2","1","0","0","0"
"","199253","","449792","","Jacobe Hayes","TCU","80","WR","4","2","0","0","0","0"
"","199288","","458964","","Michael Terry III","TEXAS","11","WR","6","1","0","0","0","0"
"","199292","","453698","","Jaime Ffrench Jr.","TEXAS","02","WR","12","2","1","0","0","0"
"","199301","","453702","","Kaliq Lockett","TEXAS","07","WR","32","4","3","1","7","0"
"","199304","","449073","","Daylan McCutcheon","TEXAS","17","WR","108","8","7","3","57","0"
"","199308","","450017","","Michael Dever","TEXAS TECH","84","WR","11","1","1","0","7","0"
"","199310","","450076","","Leyton Stone","TEXAS TECH","17","WR","37","5","2","1","0","2"
"","199382","","454022","","Andrea Parisi","UCF","39","WR","1","1","0","0","0","0"
"","199385","","450363","","Waden Charles","UCF","19","WR","285","8","12","4","23","3"
"","199391","","450365","","Carl Jenkins Jr.","UCF","12","WR","140","8","3","1","3","0"
"","199420","","449578","","Corey Simms","USC","22","WR","11","3","1","0","0","0"
"","199500","","449216","","Jack Foley","WAKE","89","WR","3","1","0","0","0","0"
"","199517","","453703","","Chris Lawson","WASHINGTON","08","WR","47","5","5","1","34","0"
"","199523","","449367","","Raiden Vines-Bright","WASHINGTON","07","WR","311","8","18","3","123","0"
"","199530","","449361","","Dezmen Roebuck","WASHINGTON","81","WR","358","8","25","10","180","1"
"","199574","","449280","","Eugene Hilton Jr.","WISCONSIN","13","WR","90","8","4","1","12","0"
"","199699","","449090","","Jordan Allen","GA TECH","85","WR","84","6","15","5","242","1"
"","199725","","461014","","Jaquise Martin","HOUSTON","80","WR","63","6","3","2","26","1"
"","199751","","458869","","TaRon Francis","LSU","83","WR","3","1","0","0","0","0"
"","199753","","458873","","Phillip Wright III","LSU","15","WR","3","1","1","0","3","0"
"","199790","","450699","","Winston Watkins","OLE MISS","17","WR","184","9","13","5","83","0"
"","199800","","453539","","Jeremiah Jones","NEBRASKA","80","WR","5","2","1","0","0","0"
"","199803","","449152","","Cortez Mills Jr.","NEBRASKA","19","WR","100","8","8","2","27","0"
"","199809","","453522","","Jackson Carpenter","NEBRASKA","88","WR","5","2","0","0","0","0"
"","199836","","458776","","Elijah Burress","NOTRE DAME","17","WR","25","2","0","0","0","0"
"","199850","","453505","","Quincy Porter","OHIO STATE","11","WR","48","3","3","2","30","0"
"","199859","","453485","","Phillip Bell","OHIO STATE","07","WR","18","2","0","0","0","0"
"","199876","","449245","","Cooper Perry","OREGON","17","WR","99","6","7","0","17","0"
"","199882","","449230","","Dakorien Moore","OREGON","01","WR","359","8","29","12","132","5"
"","199913","","449121","","Koby Howard","PENN STATE","03","WR","38","4","2","1","2","0"
"","199945","","449334","","Brian Rowe Jr.","S CAROLINA","18","WR","244","8","15","3","64","0"
"","199954","","449335","","Jayden Sellers","S CAROLINA","17","WR","71","4","9","2","50","0"
"","199955","","453943","","Jordon Gidron","S CAROLINA","07","WR","2","1","0","0","0","0"
"","199957","","453915","","Malik Clark","S CAROLINA","13","WR","29","3","0","0","0","0"
"","199961","","453928","","Lex Cyrus","S CAROLINA","00","WR","6","1","0","0","0","0"
"","199962","","458802","","Deon Hardin","TENNESSEE","88","WR","5","2","0","0","0","0"
"","199974","","451125","","Radarious Jackson","TENNESSEE","05","WR","43","4","5","2","18","1"
"","199984","","0","","Ben Petermann","TENNESSEE","35","WR","1","1","0","0","0","0"
"","199993","","449379","","Kelshaun Johnson","TEXAS A&M","11","WR","5","2","2","0","10","0"
"","199998","","449402","","TK Norman","TEXAS A&M","18","WR","24","3","0","0","0","0"
"","200078","","450615","","Ja'Kayden Ferguson","ARKANSAS","05","WR","20","2","1","0","0","0"
"","200108","","456258","","Ashton Jones","BAYLOR","87","WR","15","1","0","0","0","0"
"","200109","","456260","","Jacorey Watson","BAYLOR","20","WR","13","1","2","0","9","0"
"","200110","","453267","","Taz Williams Jr.","BAYLOR","88","WR","15","1","1","0","0","0"
"","200125","","449423","","Vernell Brown III","FLORIDA","08","WR","309","7","32","10","223","3"
"","200129","","463550","","Dallas Wilson","FLORIDA","06","WR","165","4","12","3","82","0"
"","200138","","449482","","Naeshaun Montgomery","FLORIDA","00","WR","20","2","2","0","16","0"
"","200142","","466463","","DJ Miller","KENTUCKY","07","WR","96","3","8","3","46","2"
"","200153","","449183","","Joshua Moore","MIAMI FL","03","WR","139","8","11","2","41","1"
"","200155","","449195","","Malachi Toney","MIAMI FL","10","WR","415","8","53","13","436","4"
"","200158","","453555","","Daylyn Upshaw","MIAMI FL","15","WR","17","2","3","1","23","0"
"","200185","","451143","","Travis Smith Jr.","TENNESSEE","01","WR","82","5","3","0","13","1"
