"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","REC","TKL ALL","REC YCo","CTC"
"","158565","","385857","","Cody Mladenka","BAYLOR","82","TE","24","3","0","1","0","0"
"","158620","","386523","","Justin Joly","NC STATE","07","TE","385","9","39","0","66","4"
"","158648","","386289","","Donovan Green","LSU","88","TE","75","9","2","1","5","0"
"","158655","","386306","","Jake Johnson","N CAROLINA","19","TE","236","10","15","1","23","4"
"","158662","","400027","","Theo Melin Ohrstrom","TEXAS A&M","17","TE","381","10","15","6","36","1"
"","158708","","401366","","JT Seagreaves","WISCONSIN","41","TE","2","1","0","0","0","0"
"","158714","","391865","","Keyan Burnett","ARIZONA","88","TE","107","4","2","3","1","0"
"","158739","","406916","","Tyler Powell","ARIZONA","87","TE","1","1","0","0","0","0"
"","159122","","392596","","Cody Hardy","NC STATE","44","TE","233","10","5","2","6","0"
"","159125","","387009","","Rohan Jones","ARKANSAS","88","TE","183","10","16","2","57","1"
"","159367","","408205","","Kai Rios","MICH STATE","88","TE","13","3","0","1","0","0"
"","160382","","391624","","Carson Kent","OKLAHOMA","86","TE","111","9","3","2","2","1"
"","162439","","393527","","Jack Velling","MICH STATE","12","TE","502","10","23","8","51","2"
"","162462","","391453","","Jack Pedersen","UCLA","28","TE","263","10","11","9","13","1"
"","162467","","389058","","Carsen Ryan","BYU","20","TE","568","10","31","9","119","1"
"","162696","","395954","","Jeremiah Hasley","DUKE","85","TE","532","10","21","3","83","2"
"","162702","","412256","","Jake Taylor","DUKE","15","TE","94","8","2","2","2","0"
"","162768","","406909","","Josh Altsman","PITTSBURGH","85","TE","43","6","5","0","2","0"
"","162793","","386461","","Leon Haughton Jr.","MARYLAND","16","TE","87","5","4","1","2","1"
"","162794","","407162","","Preston Howard","AUBURN","15","TE","406","10","8","12","11","1"
"","162818","","391885","","Marlin Klein","MICHIGAN","17","TE","300","8","16","5","30","1"
"","162848","","399526","","Chris Petrucci","NWESTERN","81","TE","10","2","0","0","0","0"
"","162855","","400319","","Blake Van Buren","NWESTERN","83","TE","184","10","0","8","0","0"
"","162884","","391554","","Max Klare","OHIO STATE","86","TE","332","10","32","3","48","4"
"","162960","","391669","","John Locke Jr.","OKLAHOMA","44","TE","2","1","0","0","0","0"
"","163252","","429938","","Anthony Olsen","BYU","85","TE","19","1","0","0","0","0"
"","163599","","385841","","Miles Kitselman","TENNESSEE","87","TE","530","10","27","11","56","1"
"","163600","","386945","","Danny Lewis Jr.","ALABAMA","87","TE","63","4","2","4","1","0"
"","163606","","386948","","Amari Niblack","TEXAS A&M","84","TE","109","10","5","1","24","1"
"","163727","","399033","","Cole Spence","VANDERBILT","16","TE","343","10","10","4","21","0"
"","163777","","391798","","Josh Kattus","KENTUCKY","84","TE","401","10","17","6","35","4"
"","163803","","428821","","Quinton Conley","KANSAS","81","TE","7","2","0","0","0","0"
"","163938","","388601","","Jacob Barrick","W VIRGINIA","81","TE","234","9","7","4","12","0"
"","164222","","388677","","Jordan Owens","N CAROLINA","80","TE","255","10","4","6","6","1"
"","164482","","387284","","Peter Knudson","ALABAMA","86","TE","5","1","0","0","0","0"
"","164486","","387289","","Keayen Nead","BYU","45","TE","194","9","0","3","0","0"
"","169916","","406755","","Zeke Moore","BOSTON COL","48","TE","168","11","1","6","3","0"
"","169941","","407835","","Brendan Doyle","STANFORD","80","TE","97","10","1","1","1","0"
"","170022","","412125","","Olsen Patt-Henry","CLEMSON","11","TE","386","10","15","10","12","5"
"","170038","","434165","","Tony Boggs","DUKE","46","TE","31","7","0","1","0","0"
"","170039","","412239","","Vance Bolyard","DUKE","80","TE","24","3","0","0","0","0"
"","170136","","436499","","Hayden Rollison","VIRGINIA","94","TE","18","3","0","0","0","0"
"","170156","","406803","","Hayden Large","IOWA","88","TE","353","10","8","8","9","0"
"","170206","","407257","","AJ Szymanski","MARYLAND","89","TE","134","10","5","6","4","0"
"","170208","","407265","","Dylan Wade","UCF","00","TE","315","9","35","2","58","1"
"","170209","","407270","","Rico Walker","PURDUE","17","TE","139","9","9","1","32","2"
"","170224","","429467","","Cayden Echternach","NEBRASKA","48","TE","32","6","0","2","0","0"
"","170274","","408115","","Jelani Thurman","OHIO STATE","15","TE","114","10","6","1","12","1"
"","170294","","412020","","Andrew Rappleyea","PENN STATE","87","TE","259","10","10","8","37","0"
"","170298","","428529","","Joey Schlaffer","PENN STATE","18","TE","7","3","1","0","0","0"
"","170307","","428392","","Logan Blake","RUTGERS","11","TE","54","6","1","2","1","0"
"","170384","","407201","","David Clement","SYRACUSE","00","TE","191","10","3","6","4","1"
"","170390","","453647","","Kevin Check","WAKE","46","TE","5","1","0","0","0","0"
"","170395","","443095","","Matthew Lusardi","WAKE","48","TE","20","8","0","0","0","0"
"","171082","","406070","","Cooper Flanagan","NOTRE DAME","87","TE","4","1","0","0","0","0"
"","171301","","406262","","Grayson Barnes","W VIRGINIA","80","TE","493","11","20","15","28","3"
"","171862","","428888","","Tyler Mustain","ARIZONA","83","TE","18","5","0","0","0","0"
"","172225","","412673","","Dorian Fleming","MARYLAND","09","TE","483","10","34","4","117","7"
"","172385","","406439","","Ty Lockwood","BOSTON COL","19","TE","49","9","2","0","8","0"
"","172398","","406905","","Isaiah Augustave","S CAROLINA","23","TE","7","3","1","0","6","0"
