"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","REC","TKL ALL","REC YCo","CTC"
"","52545","","380438","","Joe Royer","CINCINNATI","11","TE","417","9","23","5","133","2"
"","71325","","386498","","Boden Groen","KANSAS","88","TE","439","10","31","5","61","0"
"","74638","","393302","","Jack Monday","KENTUCKY","83","TE","3","1","0","0","0","0"
"","98371","","327924","","Brett Seither","GA TECH","80","TE","162","8","7","2","15","0"
"","100658","","352089","","Hudson Habermehl","UCLA","81","TE","355","9","16","4","20","1"
"","122147","","348206","","Sage Ennis","VIRGINIA","00","TE","396","9","15","5","35","1"
"","122398","","348398","","Markeston Douglas","FLORIDA ST","87","TE","222","9","2","3","12","0"
"","122515","","349479","","DeShawn Hanika","KANSAS","18","TE","110","5","10","1","12","1"
"","122563","","351048","","Will Huggins","OKLAHOMA","81","TE","87","6","3","3","2","0"
"","122608","","349980","","Christian Moore","PURDUE","44","TE","191","10","1","4","0","0"
"","122620","","349983","","Will Swanson","KANSAS ST","83","TE","161","9","4","2","14","0"
"","122993","","348629","","Quinton Stewart","OKLA STATE","82","TE","238","8","3","5","5","0"
"","123069","","351781","","Chase Curtis","TCU","81","TE","265","9","9","2","16","1"
"","123162","","386206","","Jayden York","HOUSTON","13","TE","18","3","0","0","0","0"
"","123985","","351587","","Brandon Frazier","AUBURN","87","TE","395","9","13","3","25","0"
"","123992","","350692","","Tate Johnson","AUBURN","42","TE","66","10","0","0","0","0"
"","125950","","406929","","Luke Hasz","OLE MISS","09","TE","68","7","2","3","6","0"
"","127157","","388700","","Lance Mason","WISCONSIN","86","TE","389","9","23","5","46","1"
"","127250","","387221","","RJ Maryland","SMU","82","TE","263","10","22","2","53","1"
"","128333","","350572","","Sam Olson","ARIZONA","84","TE","313","9","15","5","17","1"
"","128361","","350800","","Alex Lines","NWESTERN","88","TE","114","8","4","0","6","0"
"","128793","","420379","","Zach Ortwerth","IOWA","48","TE","184","9","6","3","13","0"
"","129407","","367779","","Josh Beetham","GA TECH","17","TE","195","9","5","6","14","0"
"","129581","","350312","","Matthew Hibner","SMU","88","TE","525","10","21","5","43","5"
