"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","ATT","YCO","RB YCO/ATT","10+ RUSH","MTF RUN"
"","131674","","351415","","Shaadie Clayton-Johnson","SMU","24","HB","11","3","5","16","3.2","0","1"
"","131782","","351839","","EJ Smith","TEXAS A&M","22","HB","60","6","23","87","3.8","4","6"
"","138448","","352864","","Kaelon Black","INDIANA","08","HB","215","9","96","362","3.8","15","14"
"","142276","","353324","","Freddie Brock IV","OKLA STATE","25","HB","38","3","13","29","2.2","1","1"
"","143866","","362167","","Jaquez Moore","DUKE","09","HB","81","7","34","97","2.9","5","6"
"","143876","","367803","","CJ Campbell Jr.","RUTGERS","05","HB","48","3","23","86","3.7","4","5"
"","143915","","388514","","Daylon Gordon","GA TECH","21","HB","15","4","4","21","5.3","1","1"
"","143918","","362505","","Jamal Haynes","GA TECH","01","HB","340","9","97","292","3.0","10","13"
"","143964","","362385","","Caleb Hood","N CAROLINA","04","HB","85","5","16","32","2.0","0","0"
"","144099","","396171","","P.J. Prioleau","VA TECH","20","HB","59","7","13","36","2.8","1","1"
"","144107","","377626","","Malachi Thomas","PURDUE","24","HB","145","9","39","130","3.3","4","6"
"","144232","","372101","","Myles Montgomery","UCF","22","HB","357","8","119","427","3.6","20","29"
"","144541","","366998","","Eli Sanders","USC","01","HB","133","6","47","128","2.7","9","7"
"","144652","","383345","","Jaden Nixon","UCF","05","HB","158","8","37","76","2.0","8","4"
"","144683","","385937","","Trent Battle","TCU","06","HB","168","8","54","198","3.7","11","13"
"","144689","","397753","","Franklin Estrada II","TCU","40","HB","1","1","0","0","0","0","0"
"","144799","","361646","","Josh McCray","GEORGIA","02","HB","58","8","34","78","2.3","1","3"
"","144833","","362434","","Trent Howland","OKLA STATE","24","HB","114","8","46","152","3.3","6","6"
"","144891","","369221","","Roman Hemby","INDIANA","01","HB","319","9","125","409","3.3","15","27"
"","145057","","366321","","Evan Pryor","CINCINNATI","06","HB","233","8","71","314","4.4","17","19"
"","145111","","391560","","Devin Mockobee","PURDUE","45","HB","357","8","126","407","3.2","14","26"
"","145166","","383933","","Grover Bortolotti","WISCONSIN","43","HB","2","2","0","0","0","0","0"
"","145514","","381655","","Kevorian Barnes","TCU","02","HB","217","6","84","234","2.8","10","19"
"","145672","","361731","","Mike Washington Jr.","ARKANSAS","04","HB","418","9","129","485","3.8","24","25"
"","146843","","361008","","Simeon Price","COLORADO","26","HB","89","4","21","43","2.0","4","2"
"","146991","","373393","","Amari Daniels","TEXAS A&M","05","HB","87","8","33","61","1.9","2","1"
"","147003","","366954","","LJ Johnson Jr.","CAL","11","HB","109","7","36","90","2.5","1","5"
"","147143","","367606","","Dre Washington","ALABAMA","20","HB","20","3","9","24","2.7","0","1"
"","147252","","383941","","Damien Taylor","OLE MISS","12","HB","28","5","16","59","3.7","1","5"
"","147475","","369043","","Logan Diggs","OLE MISS","22","HB","78","9","19","53","2.8","3","0"
"","147591","","380361","","Tuna Altahir","STANFORD","06","HB","52","4","15","40","2.7","0","3"
"","147785","","383358","","Elijah Tau-Tolliver","MICH STATE","04","HB","128","9","39","184","4.7","4","11"
"","148567","","376868","","Jamario Clements","WAKE","03","HB","59","5","17","35","2.1","0","3"
"","150482","","363491","","J'Mari Taylor","VIRGINIA","03","HB","404","9","153","546","3.6","14","39"
"","155211","","361942","","Cash Jones","GEORGIA","32","HB","116","8","7","11","1.6","0","0"
"","156236","","393308","","Keith Adams Jr.","CLEMSON","19","HB","23","4","11","32","2.9","2","0"
"","156252","","407369","","Adam Randall","CLEMSON","08","HB","414","8","101","321","3.2","16","17"
"","156290","","385634","","Rodney Hill","ARKANSAS","01","HB","21","5","7","22","3.1","1","1"
"","156308","","429802","","Antonio Martin Jr.","KANSAS ST","22","HB","12","2","6","16","2.7","0","0"
"","156371","","386616","","Xavier Brown","VIRGINIA","20","HB","115","7","51","142","2.8","7","5"
"","156393","","407047","","Davis Lane Jr.","VIRGINIA","29","HB","22","2","6","10","1.7","1","0"
