"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","MT","PBU","INT","CTGT"
"","160755","","391958","","Tayvion Beasley","BYU","15","CB","195","7","5","1","2","0","9"
"","161488","","408223","","Tre Bell","IOWA STATE","07","CB","450","9","31","4","0","1","34"
"","161658","","408185","","Zelmar Vedder","HOUSTON","21","CB","301","9","16","5","7","0","28"
"","162115","","387576","","Jamel Johnson","NC STATE","21","CB","446","9","27","6","4","0","39"
"","162483","","395966","","Tristan Dunn","CAL","22","CB","3","1","1","1","0","0","1"
"","162519","","400037","","DJ Bell","UCF","05","CB","177","7","9","2","2","0","18"
"","162662","","398987","","Isaiah Farris","BOSTON COL","16","CB","424","9","30","5","4","1","35"
"","162705","","412257","","George Wright","DUKE","32","CB","5","2","1","0","0","0","1"
"","162712","","443964","","Ben Hollerbach","GA TECH","26","CB","6","1","0","1","0","0","0"
"","162733","","412478","","Chris Graves Jr.","OLE MISS","32","CB","457","9","19","5","1","0","28"
"","162743","","385600","","Marcus Allen","N CAROLINA","29","CB","448","8","22","7","7","1","45"
"","162754","","407515","","Tayon Holloway","LOUISVILLE","25","CB","494","8","32","3","1","0","25"
"","162810","","393388","","Zeke Berry","MICHIGAN","10","CB","357","7","20","4","7","1","37"
"","162851","","406820","","Evan Smith","NWESTERN","12","CB","82","5","5","0","1","0","5"
"","162854","","400343","","Braden Turner","NWESTERN","09","CB","309","8","29","6","1","0","19"
"","163030","","398488","","Amier Boyd","TEXAS TECH","27","CB","274","8","18","3","2","1","31"
"","163211","","387142","","Donavon Platt","VIRGINIA","28","CB","424","9","26","5","2","1","40"
"","163250","","395551","","Evan Johnson","BYU","00","CB","460","8","29","6","4","3","44"
"","163293","","398467","","Zach Grisham","OREGON","24","CB","55","4","5","0","0","0","2"
"","163547","","387261","","Ricky Fletcher","OLE MISS","09","CB","232","8","10","0","0","0","14"
"","163598","","393247","","Antonio Kite","OLE MISS","08","CB","492","8","26","2","2","1","34"
"","163641","","448231","","Landon Phipps","ARKANSAS","32","CB","2","1","0","0","0","0","0"
"","163644","","386892","","Keionte Scott","MIAMI FL","00","CB","467","8","45","10","3","0","36"
"","163676","","412010","","Audavion Collins","PENN STATE","02","CB","310","8","35","4","1","0","21"
"","163742","","391288","","Julio Humphrey","TEXAS A&M","06","CB","100","7","8","0","0","0","4"
"","163751","","391291","","Jaheim Singletary","ARKANSAS","15","CB","189","8","12","1","1","0","14"
"","163791","","364662","","Jordan Robinson","VIRGINIA","09","CB","314","9","23","3","3","0","24"
"","163824","","386023","","DJ McKinney","COLORADO","08","CB","597","9","36","9","4","1","34"
"","163962","","388623","","Jabari Mack","LOUISVILLE","04","CB","498","8","19","2","2","2","32"
"","164132","","386685","","Jonquis Hardaway","KENTUCKY","06","CB","511","8","38","2","2","1","37"
"","164178","","391434","","Cam Miller","RUTGERS","07","CB","484","9","34","5","4","1","49"
"","164318","","387579","","Ashaad Williams","WAKE","13","CB","77","3","6","0","1","0","10"
"","165205","","397841","","Caldra Williford","BAYLOR","18","CB","281","8","23","3","3","0","26"
"","168412","","387702","","Blake Cotton","UTAH","16","CB","421","9","15","1","4","0","38"
"","168425","","386362","","D'Yoni Hill","WISCONSIN","05","CB","177","5","16","1","0","0","10"
"","168565","","386486","","Mory Bamba","BYU","04","CB","245","8","17","4","2","0","26"
"","169935","","407826","","DeAgo Brumfield","MISS STATE","04","CB","446","9","24","4","3","1","34"
"","169958","","431981","","Traveon Wright","PURDUE","17","CB","92","2","6","3","2","0","5"
"","170014","","416176","","Misun Kelley","CLEMSON","25","CB","202","7","14","1","0","0","16"
"","170015","","407362","","Shelton Lewis","CLEMSON","02","CB","49","3","8","1","0","0","10"
"","170028","","412114","","Branden Strozier","CLEMSON","01","CB","130","7","4","3","1","0","8"
"","170031","","407373","","Avieon Terrell","CLEMSON","08","CB","483","8","38","1","5","0","40"
"","170053","","412226","","Moussa Kane","DUKE","22","CB","87","7","11","2","0","2","12"
"","170058","","412228","","Kimari Robinson","DUKE","05","CB","354","7","27","5","2","0","26"
"","170162","","415832","","Zach Lutmer","IOWA","06","CB","409","8","42","7","4","2","34"
"","170167","","421166","","Alex Mota","IOWA","14","CB","16","3","1","0","0","0","0"
"","170169","","415835","","John Nestor","MINNESOTA","17","CB","443","8","35","9","5","3","50"
"","170207","","407263","","Kevis Thomas","KENTUCKY","19","CB","34","3","0","1","0","0","3"
"","170220","","426509","","Jeremiah Charles","NEBRASKA","25","CB","37","3","2","1","0","0","2"
"","170257","","408112","","Jermaine Mathews Jr.","OHIO STATE","07","CB","407","8","15","4","3","1","25"
"","170270","","424545","","Calvin Simpson-Hunt","BAYLOR","28","CB","49","3","2","0","0","0","1"
"","170303","","406730","","Elliot Washington II","PENN STATE","09","CB","223","8","13","2","2","1","15"
"","170313","","427728","","Bo Mascoe","RUTGERS","03","CB","416","9","32","4","2","1","31"
"","170342","","407484","","Quindarrius Jones","FLORIDA ST","16","CB","70","4","8","0","1","0","10"
"","170353","","412589","","Ja'Bril Rawls","FLORIDA ST","11","CB","343","6","38","7","1","1","22"
"","170368","","406245","","Brandon Cisse","S CAROLINA","15","CB","388","9","25","5","6","1","30"
"","170426","","406002","","Geimere Latimer II","WISCONSIN","01","CB","321","8","18","4","1","0","29"
"","171092","","415680","","Ben Minich","NOTRE DAME","13","CB","2","2","0","0","0","0","0"
"","171293","","406751","","Raion Strader","AUBURN","13","CB","152","8","9","0","2","0","12"
"","171492","","412561","","Jamir Conn","NEBRASKA","13","CB","92","7","9","0","1","0","10"
"","171852","","406902","","Gavin Hunter","ARIZONA","23","CB","174","4","13","1","1","1","21"
"","171856","","426406","","Emmanuel Karnley","VIRGINIA","19","CB","388","9","19","7","1","0","36"
"","171875","","415789","","Keith Abney II","ARIZONA ST","01","CB","557","9","34","0","8","1","59"
"","171891","","426745","","Montana Warren","ARIZONA ST","07","CB","223","7","22","8","3","0","27"
"","171899","","416174","","Cormani McClain","FLORIDA","25","CB","325","7","15","0","0","1","22"
"","171915","","415715","","Leroy Bryant","WASHINGTON","00","CB","214","7","11","3","0","0","30"
"","172197","","406967","","Dontay Joyner","MARYLAND","06","CB","488","8","26","8","1","2","31"
"","172259","","407347","","D'Angelo Ponds","INDIANA","05","CB","388","8","33","1","4","1","29"
"","172383","","425444","","Jahlil Hurley","KANSAS","06","CB","95","7","2","0","2","0","7"
"","172394","","426401","","Dezz Ricks","TEXAS A&M","02","CB","429","8","16","10","4","0","43"
"","172410","","406949","","RJ Johnson","COLORADO","05","CB","112","4","7","1","0","1","9"
"","172449","","415554","","JC Hart","UTAH","14","CB","88","8","3","1","0","0","6"
