"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","CTGT"
"","204471","","449050","","Kaleb Burns","BAYLOR","41","LB","105","7","14","2","3","7"
"","204480","","449462","","Myles Johnson","FLORIDA","44","LB","17","2","4","0","0","0"
"","204993","","469922","","Kris Thompson","KENTUCKY","45","LB","7","1","0","0","0","0"
"","205099","","455964","","Tyshun Willis","MISS STATE","41","LB","4","1","0","0","1","0"
"","205241","","449476","","Jake Bauer","N CAROLINA","44","LB","15","1","1","0","0","0"
"","205331","","464262","","Marcus James","OKLAHOMA","28","LB","2","1","0","0","0","0"
"","205358","","456044","","Kamar Archie","RUTGERS","36","LB","16","3","3","0","0","0"
"","205447","","453455","","AJ Tuitele","USC","54","LB","11","1","0","0","0","0"
"","205450","","449581","","Matai Tagoa'i","USC","44","LB","32","4","3","0","1","1"
"","205490","","449739","","Austin Howard","VANDERBILT","34","LB","33","4","3","1","0","1"
"","205496","","461040","","Josiah Broxton","VANDERBILT","36","LB","1","1","0","0","0","0"
"","205500","","461035","","Noah Chambers","VA TECH","16","LB","208","6","27","0","3","15"
"","206315","","453361","","Mason Posa","WISCONSIN","08","LB","260","9","50","0","6","11"
"","207805","","460992","","Myron Robinson","ARIZONA","10","LB","83","6","19","3","0","4"
"","207808","","449370","","Zacari Thomas","BOSTON COL","28","LB","15","3","2","0","0","1"
"","207816","","399619","","Will Straka","BOSTON COL","58","LB","18","1","1","0","0","1"
"","208876","","451407","","Cam Torbor","W VIRGINIA","46","LB","3","1","1","0","0","0"
