"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","INT","CTGT"
"","72338","","407179","","Raider Damuni","BYU","03","S","244","7","30","0","5","1","11"
"","74395","","405990","","Zion Branch","GEORGIA","02","S","126","5","16","0","1","0","6"
"","86298","","359586","","Blake Ruffin","LOUISVILLE","29","S","44","4","6","0","1","0","1"
"","86773","","396193","","Jackson Schulz","KENTUCKY","29","S","12","3","1","0","0","0","0"
"","97543","","340590","","Jett Elad","RUTGERS","09","S","555","10","60","2","16","2","18"
"","98867","","328077","","Jalen Catalon","MISSOURI","06","S","279","9","30","0","3","0","10"
"","99757","","336480","","Antonio Clary","VIRGINIA","00","S","156","7","16","0","1","1","6"
"","121728","","349909","","JoJo Evans Jr.","LOUISVILLE","27","S","446","8","43","0","4","2","20"
"","121757","","347935","","An'Darius Coffey","PURDUE","24","S","125","8","11","1","4","0","12"
"","122163","","348230","","Tyler Venables","CLEMSON","24","S","29","3","2","0","0","0","2"
"","122278","","349164","","Devin Neal","VIRGINIA","27","S","409","10","63","1","5","0","20"
"","122855","","348688","","Devan Boykin","INDIANA","12","S","386","10","32","2","2","1","36"
"","122928","","350516","","Justin Harrington","W VIRGINIA","08","S","78","6","4","0","1","0","4"
"","123066","","349435","","Bud Clark","TCU","21","S","634","9","49","1","9","4","41"
"","123103","","348171","","Xavion Alford","ARIZONA ST","02","S","122","2","9","0","1","0","1"
"","123370","","348236","","Nick Andersen","WAKE","45","S","590","9","75","4","8","0","21"
"","123466","","350213","","Kendrick Simpkins","BAYLOR","16","S","268","8","19","1","1","0","17"
"","123931","","351586","","Jahquez Robinson","AUBURN","05","S","324","10","30","0","7","0","24"
"","123962","","349061","","Myles Slusher","PURDUE","09","S","434","9","61","1","11","1","18"
"","124286","","349043","","Key Lawrence","UCLA","04","S","569","9","55","3","18","1","19"
"","124387","","349583","","Mordecai McDaniel","OKLA STATE","32","S","287","8","37","1","6","0","13"
"","125313","","349854","","Cole Wisniewski","TEXAS TECH","05","S","566","10","54","3","7","0","22"
"","128402","","360135","","Crew Wakley","PURDUE","07","S","60","3","11","1","1","0","5"
"","129334","","407717","","Mose Phillips III","MISSOURI","03","S","66","4","4","1","0","0","2"
"","129403","","350211","","Jordan Walker","W VIRGINIA","04","S","100","7","18","2","7","1","7"
"","129727","","350468","","Gunner Maldonado","KANSAS ST","03","S","302","9","31","0","7","2","10"
"","129939","","351350","","Preston Zachman","WISCONSIN","14","S","116","3","12","0","1","2","7"
"","131875","","351714","","Nate Ritchie","UTAH","06","S","219","5","27","4","11","0","15"
"","131892","","351649","","Makell Esteen","WASHINGTON","24","S","546","9","47","0","9","3","21"
"","133060","","412556","","Brenden Jordan","TEXAS TECH","07","S","558","10","35","0","1","1","25"
"","138115","","352932","","Jy Gilmore","GA TECH","14","S","361","7","26","2","6","0","17"
"","142177","","354546","","Kavir Bains-Marquez","PITTSBURGH","23","S","403","9","36","2","5","1","33"
"","143851","","362325","","Placide Djungu-Sungu","BAYLOR","20","S","3","1","0","0","0","0","0"
"","143874","","368354","","Shyheim Brown","FLORIDA ST","01","S","172","8","22","0","5","0","11"
"","143898","","382561","","Hunter Washington","MISS STATE","21","S","346","10","33","0","5","1","18"
"","143959","","362860","","DeAndre Boykins","OKLA STATE","15","S","1","1","0","0","0","0","0"
"","144029","","361484","","Javon McIntyre","PITTSBURGH","07","S","443","9","34","0","6","1","29"
"","144040","","365753","","Duce Chestnut","SYRACUSE","02","S","425","10","52","2","9","0","17"
"","144106","","362862","","Jalen Stroman","NOTRE DAME","07","S","192","8","25","0","2","0","8"
"","144238","","386706","","Armorion Smith","MICH STATE","19","S","344","9","25","0","13","1","18"
"","144373","","363180","","Isaiah Nwokobia","SMU","23","S","671","10","91","1","16","3","44"
"","144393","","362020","","Jalen McMurray","TENNESSEE","06","S","387","9","45","3","3","0","38"
"","144577","","368479","","Landon Nelson","KANSAS","31","S","7","2","2","0","0","0","0"
"","144605","","362446","","Omar Daniels","GA TECH","09","S","451","9","37","1","12","1","15"
"","144661","","383575","","Lyrik Rawls","KANSAS","02","S","532","10","61","1","8","1","29"
"","144662","","368874","","Raymond Gay II","OKLA STATE","27","S","115","4","11","0","1","0","7"
"","144668","","383573","","Kendal Daniels","OKLAHOMA","05","S","356","9","28","9","7","0","20"
"","144732","","387220","","Michael Taaffe","TEXAS","16","S","404","7","49","0","2","1","10"
"","144809","","382731","","Miles Scott","ILLINOIS","10","S","537","9","43","2","5","0","14"
"","144932","","368563","","Rod Moore","MICHIGAN","19","S","85","3","9","0","2","1","3"
"","144982","","386159","","Darius Green","MINNESOTA","12","S","259","8","18","2","3","0","17"
"","145012","","359472","","Marques Buford Jr.","NEBRASKA","03","S","194","10","16","0","0","0","10"
"","145019","","415728","","Derek Branch","NEBRASKA","24","S","7","2","0","0","0","0","0"
"","145046","","361949","","Garner Wallace","NWESTERN","18","S","400","9","34","0","8","0","19"
"","145072","","377197","","Andre Turrentine","TENNESSEE","02","S","576","9","43","0","7","1","20"
"","145099","","362831","","Zakee Wheatley","PENN STATE","06","S","480","9","71","1","9","1","15"
"","145199","","362906","","Jayden Williams","UCF","23","S","84","2","8","0","3","0","1"
"","145309","","363527","","Jakobe Thomas","MIAMI FL","08","S","440","9","41","1","12","2","29"
"","145366","","368314","","Tahj Ra-El","PURDUE","21","S","638","10","98","3","14","0","30"
"","145579","","377268","","Xavier Williams","CINCINNATI","36","S","169","9","26","0","2","0","9"
"","145611","","386064","","Darrian Lewis","W VIRGINIA","24","S","417","10","62","1","13","2","35"
"","145764","","362058","","Quentavius Scandrett","ARKANSAS","08","S","23","2","2","0","0","0","0"
"","146097","","367863","","Richard Toney Jr.","PURDUE","43","S","18","3","3","0","0","0","0"
"","146252","","362986","","Dalton Johnson","ARIZONA","43","S","577","9","69","0","10","2","32"
"","146255","","362997","","Isaiah Taylor","MIAMI FL","28","S","64","5","7","3","2","0","2"
"","146375","","373081","","Mitch Leigber","STANFORD","32","S","426","9","33","2","9","0","18"
"","146420","","364264","","Anthony Beavers Jr.","USC","15","S","7","1","1","0","0","0","0"
"","146606","","366865","","Brylan Lanier","MISS STATE","03","S","513","10","49","1","8","3","40"
"","146745","","361691","","Jordan Lovett","KENTUCKY","25","S","481","9","41","3","10","2","19"
"","146776","","380403","","Sage Ryan","OLE MISS","03","S","426","10","30","0","5","0","30"
"","146944","","362923","","Christian Charles","VIRGINIA","04","S","256","10","35","1","6","0","8"
"","146968","","376759","","Marlen Sewell","VANDERBILT","07","S","380","10","36","0","4","0","14"
"","146997","","373395","","Jardin Gilbert","LSU","02","S","48","3","4","0","3","0","2"
"","147474","","368837","","Lorenzo Styles Jr.","OHIO STATE","03","S","266","7","17","1","2","0","19"
"","147503","","363004","","Talan Alfrey","BYU","25","S","43","6","6","1","0","0","4"
"","147534","","363038","","Tanner Wall","BYU","28","S","508","9","45","1","8","3","6"
"","150298","","386463","","Caleb Weaver","DUKE","03","S","470","9","66","3","14","1","21"
"","150315","","369170","","Derek Carter Jr.","W VIRGINIA","13","S","268","9","27","2","4","1","17"
"","154599","","391475","","Ben Finneseth","COLORADO","28","S","275","7","23","0","2","0","1"
"","155781","","372230","","Montrell Bandy","TENNESSEE","37","S","14","2","1","0","0","0","0"
"","155951","","387736","","Dru Polidore Jr.","CAL","02","S","427","8","57","2","8","0","24"
"","155978","","384483","","Parker Robertson","OKLA STATE","08","S","391","9","57","4","17","1","18"
"","156244","","393312","","Kylon Griffin","CLEMSON","18","S","49","6","3","0","0","0","1"
"","156276","","400134","","Christian White","FLORIDA ST","37","S","51","3","6","0","1","0","2"
"","156305","","388512","","Clayton Powell-Lee","GA TECH","05","S","492","9","60","0","12","1","26"
"","156310","","400017","","D.J. Moore","GA TECH","22","S","19","1","3","0","0","0","2"
"","156316","","395948","","D'Angelo Hutchinson","LOUISVILLE","21","S","503","9","55","1","11","1","28"
"","156327","","387026","","Antonio Watts","LOUISVILLE","09","S","552","9","37","4","15","3","42"
"","156333","","406498","","Nick Kelly","MIAMI FL","36","S","3","1","0","0","0","0","0"
"","156378","","450261","","Robbie Engelberg","VIRGINIA","39","S","32","2","3","0","0","0","0"
"","156406","","391878","","Phillip Dunnam","UCF","02","S","583","9","53","3","9","3","23"
"","156415","","386322","","Louis Moore","INDIANA","07","S","482","10","59","2","8","5","26"
"","156431","","386317","","Xavier Nwankpa","IOWA","01","S","483","9","58","0","8","1","14"
"","156432","","406799","","Kael Kolarik","IOWA","26","S","50","4","2","0","0","0","2"
"","156437","","399546","","Koen Entringer","IOWA","04","S","490","9","54","3","10","0","15"
"","156453","","386448","","Gavin Gibson","N CAROLINA","05","S","482","9","39","2","6","1","26"
"","156459","","393089","","Jaeden Gould","UCF","11","S","50","6","5","0","0","0","1"
"","156462","","385719","","Malcolm Hartzog Jr.","NEBRASKA","07","S","74","2","1","0","0","1","6"
"","156472","","407287","","Jalil Martin","SYRACUSE","17","S","49","4","4","0","0","0","5"
"","156476","","385718","","DeShon Singleton","NEBRASKA","08","S","540","10","57","2","7","2","29"
"","156511","","391608","","Timmy Ward","RUTGERS","38","S","35","8","3","0","1","0","0"
"","156702","","386435","","JJ Johnson","NC STATE","16","S","256","6","18","0","7","0","10"
"","156841","","386593","","Micheal Caraway Jr.","FLORIDA","16","S","68","6","6","0","1","0","4"
"","157051","","395008","","Caleb Wooden","ARKANSAS","22","S","483","9","47","3","9","0","11"
"","157078","","391297","","JaCorey Thomas","GEORGIA","20","S","310","9","29","0","3","0","11"
"","157114","","391736","","Jordan Allen","HOUSTON","06","S","507","10","41","0","3","0","21"
"","157236","","396169","","Christian Ellis","VA TECH","08","S","94","4","8","1","2","0","5"
"","157277","","398469","","Scotty Edwards","STANFORD","21","S","359","9","39","0","10","0","20"
"","157356","","386085","","Hershey McLaurin","PURDUE","25","S","182","4","23","0","5","0","3"
"","157507","","393451","","Aidan Gousby","MINNESOTA","07","S","247","7","14","0","6","0","10"
"","157509","","386148","","Coleman Bryson","N CAROLINA","16","S","178","9","10","0","5","0","12"
"","157593","","387557","","Blake Thompson","HOUSTON","00","S","184","9","11","0","3","1","8"
"","157713","","439374","","Braden Keith","COLORADO","30","S","5","1","1","0","0","0","0"
"","157742","","387001","","Miguel Mitchell","ARKANSAS","16","S","336","9","39","0","8","1","11"
"","157744","","453259","","Cruz Rushing","OREGON","34","S","3","1","0","0","0","0","0"
"","157779","","407396","","Jet Dineen","KANSAS ST","14","S","9","4","0","0","0","0","1"
"","157780","","388805","","VJ Payne","KANSAS ST","07","S","521","9","51","1","5","0","28"
