"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","ATT","YCO","RB YCO/ATT","10+ RUSH","MTF RUN"
"","176000","","446332","","Coleson Fields","NC STATE","31","HB","16","2","6","13","2.2","0","0"
"","176026","","439361","","Tyler Chandler","SYRACUSE","31","HB","1","1","1","2","2.0","0","0"
"","176028","","431651","","Max Runyon","SYRACUSE","38","FB","6","4","1","3","3.0","0","1"
"","176190","","406910","","Quintrevion Wisner","TEXAS","05","HB","319","7","102","302","3.0","6","25"
"","176252","","431385","","Bryson Kuzdzal","MICHIGAN","24","HB","49","4","25","62","2.5","1","5"
"","176482","","406861","","Rahsul Faison","S CAROLINA","01","HB","326","10","86","254","3.0","12","22"
"","176513","","406807","","Caleb Komolafe","NWESTERN","05","HB","321","10","156","458","2.9","16","23"
"","176525","","406787","","Kyson Brown","ARIZONA ST","01","HB","74","4","19","50","2.6","3","4"
"","176552","","453805","","Dean-Taylor Chapman","CAL","33","HB","2","1","1","2","2.0","0","0"
"","176564","","407866","","Jaivian Thomas","UCLA","21","HB","177","10","84","224","2.7","9","11"
"","176615","","423546","","Champ Hampton","STANFORD","34","HB","40","3","7","30","4.3","0","2"
"","176618","","406584","","Sedrick Irvin","STANFORD","26","HB","142","10","31","61","2.0","2","1"
"","177483","","418538","","Malachi Hosley","GA TECH","00","HB","307","10","81","362","4.5","17","22"
"","179059","","405950","","Jawarn Howell","S CAROLINA","22","HB","29","2","10","42","4.2","2","2"
"","182718","","429848","","Jaxon Panariello","LOUISVILLE","37","FB","43","9","0","0","0","0","0"
"","183196","","431623","","David Eziomume","CLEMSON","24","HB","43","7","10","21","2.1","1","1"
"","183219","","434078","","Trelain Maddox","GA TECH","22","HB","35","5","10","31","3.1","0","1"
"","183246","","431873","","Chris Wheatley-Humphrey","MIAMI FL","25","HB","38","4","22","96","4.4","5","9"
"","183251","","428658","","Zach Hernandez","SMU","29","HB","3","1","2","6","3.0","0","1"
"","183252","","428670","","Derrick McFall","SMU","00","HB","136","10","28","102","3.6","2","4"
"","183271","","447471","","Juelz Goff","PITTSBURGH","08","HB","228","10","62","183","3.0","5","13"
"","183297","","428178","","Kam Davis","FLORIDA ST","03","HB","26","3","8","33","4.1","2","2"
"","183312","","429771","","Isaac Brown","LOUISVILLE","01","HB","256","8","95","473","5.0","19","43"
"","183328","","428362","","Davion Gause","N CAROLINA","37","HB","169","10","51","144","2.8","7","8"
"","183347","","446441","","Jayden Scott","NC STATE","04","HB","256","10","80","272","3.4","11","28"
"","183374","","439364","","Jaden Hart","SYRACUSE","22","HB","43","5","12","40","3.3","1","1"
"","183381","","429278","","Yasin Willis","SYRACUSE","06","HB","323","9","132","413","3.1","13","20"
"","183515","","428264","","Ca'Lil Valentine","ILLINOIS","05","HB","191","10","104","250","2.4","13","12"
"","183534","","428816","","DeJuan Williams","MARYLAND","00","HB","396","10","113","307","2.7","11","18"
"","183545","","431672","","Brandon Tullis","MICH STATE","07","HB","215","10","51","159","3.1","7","5"
"","183555","","453524","","Izaac Dickey","NEBRASKA","45","HB","2","2","1","2","2.0","0","0"
"","183594","","429523","","Kenneth Williams","NEBRASKA","32","HB","9","3","5","19","3.8","1","0"
"","183621","","431734","","Bryan Jackson","USC","21","HB","94","6","31","94","3.0","2","3"
"","183644","","429718","","Adam Mohammed","WASHINGTON","24","HB","228","10","70","231","3.3","5","29"
"","183656","","431481","","Darrion Dupree","WISCONSIN","06","HB","160","8","54","150","2.8","3","13"
"","183661","","441715","","Gideon Ituka","WISCONSIN","10","HB","146","6","61","190","3.1","5","14"
"","183664","","431482","","Dilin Jones","WISCONSIN","07","HB","180","7","78","228","2.9","6","12"
"","183706","","428684","","James Peoples","OHIO STATE","20","HB","167","10","61","189","3.1","8","15"
"","183713","","428712","","Sam Dixon","OHIO STATE","24","HB","3","1","3","8","2.7","0","0"
"","183723","","429039","","Jaheim Merriweather","PURDUE","23","HB","12","3","2","5","2.5","0","0"
"","183736","","449392","","Anthony Wilhite","ARIZONA","28","HB","10","2","5","12","2.4","0","0"
"","183763","","450485","","Jovesa Damuni","BYU","28","HB","28","4","13","54","4.2","3","0"
"","183773","","429935","","Sione Moa","BYU","30","HB","65","3","18","56","3.1","2","3"
"","183815","","428853","","Harry Stewart III","KANSAS","00","HB","75","9","22","63","2.9","2","3"
"","183835","","432079","","Nate Palmer","TCU","21","HB","50","5","22","78","3.5","4","4"
"","183837","","428461","","Jeremy Payne","TCU","26","HB","200","8","54","187","3.5","8","11"
"","183873","","436407","","Clay Ash","W VIRGINIA","27","HB","156","8","43","107","2.5","3","2"
"","183887","","428393","","Micah Welch","COLORADO","29","HB","246","10","83","212","2.5","6","12"
"","183902","","439342","","DeVon Rice","KANSAS ST","23","HB","73","9","26","55","2.1","3","4"
"","184108","","431679","","Aneyas Williams","NOTRE DAME","22","HB","25","4","12","94","7.8","3","5"
"","184224","","429391","","Wayshawn Parker","UTAH","01","HB","281","10","102","328","3.2","18","37"
"","184393","","428891","","Braylen Russell","ARKANSAS","00","HB","174","9","56","180","3.2","6","11"
"","184417","","428285","","Jadan Baugh","FLORIDA","13","HB","492","10","167","543","3.3","24","48"
"","184419","","428299","","KD Daniels","FLORIDA","21","HB","58","6","22","55","2.5","2","1"
"","184449","","432005","","Caden Durham","LSU","29","HB","275","9","96","356","3.7","10","16"
"","184458","","428562","","Ju'Juan Johnson","LSU","08","HB","204","10","33","114","3.5","3","5"
"","184505","","453696","","Christian Clark","TEXAS","06","HB","104","6","33","59","1.8","3","7"
"","184509","","428962","","Jerrick Gibson","TEXAS","09","HB","74","4","39","90","2.3","5","8"
"","184536","","429327","","Daniel Hill","ALABAMA","04","HB","187","9","45","140","3.1","5","8"
"","184550","","428394","","Chauncey Bowens","GEORGIA","33","HB","243","10","94","255","2.7","14","14"
"","184603","","443091","","Xavier Robinson","OKLAHOMA","24","HB","234","8","62","251","4.0","5","6"
